1	12288	1	
1	19479	1	
1	12825	1	
1	22557	1	
1	1067	1	
1	3643	1	
1	12360	1	
1	13389	1	
1	2639	1	
1	13398	1	
1	9305	1	
1	7777	1	
1	7778	1	
1	1639	1	
1	6760	1	
1	18108	1	
1	13425	1	
1	16502	1	
1	10360	2	
1	12929	1	
1	22551	1	
1	6801	2	
1	9887	1	
1	13937	1	
1	11945	1	
1	12459	1	
1	20168	2	
1	19124	1	
1	22198	1	
1	15033	1	
1	8892	1	
1	19133	1	
1	2243	3	
1	20167	1	
1	18632	1	
1	17016	1	
1	10453	1	
1	4310	1	
1	9945	1	
1	11999	1	
1	10464	1	
1	13026	1	
1	742	1	
1	1266	1	
1	13255	1	
1	7418	1	
1	4868	1	
1	1798	1	
1	19208	1	
1	17163	1	
1	4364	1	
1	21276	1	
1	20265	1	
1	18218	1	
1	20269	1	
1	15666	2	
1	10552	1	
1	3907	1	
1	18759	1	
1	3915	2	
1	14306	2	
1	14677	2	
1	15206	1	
1	11632	1	
1	7571	1	
1	897	1	
1	7044	1	
1	12680	1	
1	910	1	
1	7567	1	
1	835	1	
1	3991	1	
1	20376	1	
1	13723	1	
1	13725	1	
1	20384	1	
1	18853	1	
1	3314	1	
1	413	1	
1	8636	1	
1	8638	1	
1	16831	1	
1	12704	1	
1	967	1	
1	9167	2	
1	7635	1	
1	10712	1	
1	17890	1	
1	19939	1	
1	8685	1	
1	11760	1	
1	12799	1	
2	1280	1	
2	21508	1	
2	15903	1	
2	17595	1	
2	11787	2	
2	7180	1	
2	21517	1	
2	4433	1	
2	4781	1	
2	17424	1	
2	1454	1	
2	19478	1	
2	17943	1	
2	19204	1	
2	22557	1	
2	11807	1	
2	12891	1	
2	6694	1	
2	6695	1	
2	22571	1	
2	8236	1	
2	13357	1	
2	16430	1	
2	7216	1	
2	7219	1	
2	1076	2	
2	12341	1	
2	7222	1	
2	569	1	
2	20028	1	
2	9791	1	
2	7747	1	
2	2747	1	
2	18503	1	
2	15432	1	
2	11851	1	
2	13388	2	
2	13389	1	
2	15439	1	
2	592	1	
2	13393	1	
2	21586	4	
2	15444	1	
2	22613	1	
2	13398	1	
2	5207	1	
2	13412	1	
2	13914	1	
2	1627	1	
2	8797	2	
2	19553	1	
2	19555	1	
2	16814	2	
2	12390	1	
2	614	1	
2	18023	1	
2	6760	4	
2	8636	2	
2	12907	1	
2	12909	1	
2	14448	2	
2	13937	1	
2	1138	1	
2	18547	1	
2	12916	1	
2	21097	1	
2	13435	1	
2	5246	1	
2	22464	1	
2	12422	1	
2	9351	1	
2	4744	1	
2	20619	1	
2	21613	1	
2	17041	1	
2	1170	1	
2	17872	2	
2	6809	1	
2	15514	1	
2	3227	1	
2	13980	1	
2	15522	1	
